image_file_path,split,dominant_colour_name,album_name
211HPTEHBRL._SX300_.jpg,train,Claret,Succour
213vg26ltkL.jpg,train,Mariner,Electric Hush
21af82Yz+-L.jpg,train,Lotus,undefined
21CY8QB9R3L.jpg,train,Voodoo,Twisted
21o+4vs+wZL._SX300_.jpg,train,Alto,undefined
21V4ZKTM8ZL.jpg,train,Cape Cod,Tribal Gathering 96
21WKPTPDN2L.jpg,train,Raw Sienna,Paradise
21WRHE66E5L.jpg,train,Black,Living In Neon
21Z7CHK0XGL.jpg,train,Lapis Lazuli,Shine
312IqPNwjOL.jpg,train,Wattle,3
317H4OS9QQL.jpg,train,Copper,undefined
318FRM1XSML.jpg,train,Sandstone,Catch
319CSJ1ER5L.jpg,train,Corduroy,(Just) Me &amp; You
31d16ooyqdL._SX300_.jpg,train,Golden Fizz,Yoshiesque
31DG0N-t3wL.jpg,train,Ebb,Bow Down to the Exit Sign
31e8e9+ynzL._SY300_.jpg,train,Black,undefined
31HAJ2362HL.jpg,train,Bone,Psymeditation 2
31HSPYQAY0L.jpg,train,Eerie Black,The 21st Door
31iFztzFniL.jpg,train,Licorice,undefined
31lJUfcNn1L.jpg,train,Medium Carmine,undefined
31M27NG7BVL.jpg,train,Ship Cove,Dove-I'll Be Loving You
31No1+xdB5L.jpg,train,Rangoon Green,undefined
31SMS3C7VWL.jpg,train,Chelsea Cucumber,First Rebirth
31T9FRZTQWL.jpg,train,Golden Fizz,Tranceformer 2000
31TCHYZGT9L.jpg,train,Medium Carmine,Smash Hits Summer 2000
31TVKEAMHCL.jpg,train,Squirrel,Sheltered Life
31vD-7L-4aL._SY300_.jpg,train,Catskill White,Fall Right Now
31WYYJES61L.jpg,train,Gamboge,Modaji
31YD53H7D4L.jpg,train,Salem,Allnighter//Calypso Ep
31z3eGV9uwL._SL500_.jpg,train,Mystic,undefined
31Z51D569AL.jpg,train,Energy Yellow,Godskitchen: Journeys
31z51XgzT5L._SL500_.jpg,train,Cloud,Abuse Your Illusions
4100S5B5TJL.jpg,train,Harvest Gold,538 Dance Smash Hits Summer 2002
4101+Dya5RL._SY300_.jpg,train,Green Blue,undefined
410UknweQnL._SY300_.jpg,train,Tamarillo,Mission Horizon 2.0
410XK7DQT7L._SY300_.jpg,train,Cold Turkey,DJ Luck &amp; Mc Neat Present V.2
411CG9QE4QL._SX300_.jpg,train,Quill Gray,Metalheadz Presents Platinum Breakz
411F7s8zDuL._SX300_.jpg,train,Cocoa Brown,undefined
411HkRaqzhL._SX300_.jpg,train,Saffron Mango,Sunshine Reggae 2000
411Q3F686YL.jpg,train,Tall Poppy,Tera Roop
412u1vqSUBL._SX300_.jpg,train,Masala,undefined
414FAnL5GxL._SY300_.jpg,train,Celeste,undefined
414-fnxKuJL.jpg,train,Antique Brass,Journeys by DJ Volume 4: Silky Mix with John Digweed
414GK3BFW7L.jpg,train,Sonic Silver,Club Anthems 99
414j2DoSFML._SY300_.jpg,train,Black,Player
415FZYEPKQL.jpg,train,Tall Poppy,Coded Language
4162BDB40KL.jpg,train,Leather,These Words Pt.1
416PV8SA56L.jpg,train,Squirrel,Circuit 2K - Volume 3 (HellBall 5 Edition)
417G3H67GRL.jpg,train,Cocoa Brown,Drum &amp; Bass Armageddon
417S09D4X8L.jpg,train,French Gray,Furious Angels
4186hKOYwkL._SX300_.jpg,train,Mule Fawn,World As I See It
418BWJXN5VL.jpg,train,Martinique,Dr. Ken &amp; Mr. Laszlo
418KDBAQT7L.jpg,train,Eden,Spirits Inside of Me
4192NXTR1RL.jpg,train,Mischka,Warp 10
419TNNDNXJL.jpg,train,Copper,Engelsschrei
41aMMokUJ7L._SY300_.jpg,train,Rum Swizzle,Domestic Science
41BCYWZ5QJL.jpg,train,Submarine,Antidote
41C9V7BK0PL.jpg,train,Gold Fusion,538 Dance Smash Hits Spring 2000
41CFCRNHTRL._SY300_.jpg,train,Kashmir Blue,Spaced
41Cp8iEKBRL._SX300_.jpg,train,Licorice,undefined
41CYGCNZ5NL.jpg,train,Crater Brown,Stoke
41dmlt0E05L._SX300_.jpg,train,Brilliant Rose,Super Discount V.2
41DTHEVPQFL.jpg,train,Ebony Clay,Family Of Light
41duxCOM8LL._SY300_.jpg,train,Leather Jacket,Miami
41e1O+pDkFL._SX300_.jpg,train,Danube,undefined
41E79E4EXRL.jpg,train,Silver,Cream Ibiza Departures
41eeRie78dL._SL500_SX300_.jpg,train,Cod Gray,Electro Tech
41EGKEJ290L.jpg,train,Silver Rust,Big Shiny Tunes 6
41fmb5lpI+L._SX300_.jpg,train,Baltic Sea,undefined
41fRn7dhrgL._SY300_.jpg,train,Mako,undefined
41GTPXAYMCL.jpg,train,Blackcurrant,Miami Deep
41H30H9V6HL.jpg,train,Tumbleweed,Sambanova
41H39bCl7NL._SX300_.jpg,train,Thunder,undefined
41HArPqe42L.jpg,train,Plantation,Little Green Lights And Four Inch Faders
41HNUmbOrML._SL500_.jpg,train,Wafer,Lost Language:Exhibition (Double CD)
41JG9WRDJ9L.jpg,train,Teak,Monosex
41JRBNV81VL.jpg,train,Scorpion,Gatecrasher: Digital Trance
41K5ycRFV5L._SX300_.jpg,train,Plum,Freezone: Seven Is Seven Is
41k7mfxrrNL._SY300_.jpg,train,Bdazzled Blue,undefined
41KC82143KL.jpg,train,Tuatara,Some Best Friend You Turned Out to Be
41lB8uhO3vL._SY300_.jpg,train,Mojo,Cuore Matto
41M10BSXM6L.jpg,train,Hippie Blue,Something Goin on
41NnL6xtCfL._SX300_.jpg,train,Oslo Gray,Extended Play
41NSX3EMSJL.jpg,train,Lapis Lazuli,Slip Into Something
41oBPU5siVL._SX300_.jpg,train,Gondola,undefined
41ojl8iNwkL._SY300_.jpg,train,Thunder,undefined
41PCAK8KM8L.jpg,train,Timberwolf,Story of Espion
41QJPBVQQ1L.jpg,train,Tussock,This World Is Yours
41R0XDYDZEL.jpg,train,Mischka,Nut Roast
41R3R4MDKBL.jpg,train,Viridian,Dream Club V.7
41RLy1eYx+L._SX300_.jpg,train,Cloudy,undefined
41RWXBV9WCL.jpg,train,Athens Gray,Maxima FM: the Compilation
41S5MWWBFCL.jpg,train,Dorado,Take Me Home
41S9ZH2B4PL.jpg,train,Gray Nurse,Space Age 1.0
41U7WhgEebL._SY300_.jpg,train,Iron,undefined
41V6BNQ16FL.jpg,train,River Bed,Trance America
41VPFyxqZgL._SY300_.jpg,train,Casablanca,Africanism
41W1QJ0VFVL.jpg,train,Muddy Waters,Classics
41WE8B1PPRL.jpg,train,Mantle,Essential Grooves
41WEGF5T4YL._SY300_.jpg,train,Porsche,Jedi Selector
41wGEE6XdJL._SX300_.jpg,train,Desert Storm,Positive Ways 3
41XT55VJHGL._SX300_.jpg,train,Albescent White,Cafe Lounge: Rose Hip Tea
41y+1Rv+R5L._SX300_.jpg,train,Bastille,undefined
41y7oQmLQ2L._SY300_.jpg,train,Mystic,Cosmic Forces of Mu
41y9OcQScML._SX300_.jpg,train,Night Rider,undefined
41yeX-4EAGL._SX300_.jpg,train,Downy,Mutek 2004
41zk-ebP2qL._SY300_.jpg,train,Cornflower Blue,Your Lounge Your Music V.3
41zRYzilO5L._SX300_.jpg,train,Shingle Fawn,undefined
510qYD8f4RL._SX300_.jpg,train,Waterloo ,undefined
510v7NpMO+L._SY300_.jpg,train,Well Read,undefined
511rKDim2IL._SY300_.jpg,train,Outer Space,undefined
511TJiUodBL._SY300_.jpg,train,Almond,Kiss FM (Garage City)
511V2pbudoL._SY300_.jpg,train,Mischka,undefined
512343AZ9QL._SX300_.jpg,train,Silver,Winter Party Volume 3
5129FaU4GnL._SX300_.jpg,train,Outer Space,Now Or Never
512D2ZKVQ0L._SY300_.jpg,train,Tan,The Best Club Anthems Classics
514qyf5iwTL._SX300_.jpg,train,Brown Tumbleweed,Distance To Goa 8
5159NSHRNPL._SY300_.jpg,train,Shadow,Magic Thread
515H55JS6YL._SY300_.jpg,train,Elm,Swirl EP
515YA8521NL.jpg,train,Mirage,Analogue Theatre
516KU1vgufL._SX300_.jpg,train,Russett,undefined
517MhidZapL._SY300_.jpg,train,Dingy Dungeon,undefined
51811HFZEYL._SY300_.jpg,train,Leather Jacket,Bargrooves Black
519f1hue87L._SX300_.jpg,train,Onyx,Defected In The House - International Edition Volume II
519sXBRNiHL._SX300_.jpg,train,Lola,undefined
519ZprlZtRL._SY300_.jpg,train,Puce,undefined
51A7HAR4KNL._SY300_.jpg,train,Spring Leaves,Ultimate Trance Album V.3
51AC87I1tyL._SX300_.jpg,train,Ship Cove,Perennial Pleasures
51ACLIhh+VL._SX300_.jpg,train,French Gray,undefined
51AhVDhuUmL._SY300_.jpg,train,Tradewind,undefined
51AL1SJHdLL._SY300_.jpg,train,Rope,Amen
51ANeOdAA8L._SY300_.jpg,train,Cinder,undefined
51bkY9TYR-L._SY300_.jpg,train,Woodsmoke,undefined
51BTRzJgCzL._SX300_.jpg,train,Granny Smith,"DJ Networx, Vol. 16"
51c7B-sOw1L._SX300_.jpg,train,Mirage,undefined
51CS7L-3UML._SX300_.jpg,train,Matterhorn,undefined
51D1tNiFAdL._SY300_.jpg,train,Denim,undefined
51ddqGdhcvL._SY300_.jpg,train,Tall Poppy,Machineries of Joy
51DmVQ61YbL._SY300_.jpg,train,Astronaut,Deep Trance vol. 1
51Dwi4Xpb1L._SX300_.jpg,train,Red Robin,Only Human Remains
51DZpqIPi6L._SX300_.jpg,train,Silver Sand,Iguana
51e85W5gWYL._SY300_.jpg,train,Night Rider,undefined
51eqe2oQmbL._SY300_.jpg,train,Ronchi,Some Experiments
51FGYN054VL.jpg,train,Go Ben,Phototropic
51Fpkyck+WL._SX300_.jpg,train,Axolotl,undefined
51FwNbMUbhL._SY300_.jpg,train,Ripe Lemon,Planet Colors
51G0nKMyw9L._SY300_.jpg,train,Flame Pea,Shake Hands with the Future
51GaLkimEUL._SY300_.jpg,train,Bittersweet Shimmer,Top Secret
51gcql0btKL._SY300_.jpg,train,Falcon,undefined
51gDcxi++NL._SY300_.jpg,train,Limed Spruce,undefined
51H22IDw-dL._SY300_.jpg,train,Azalea,Bossa N' Go V.2: Le Deuxieme Cocktail
51h2SlfJM3L._SX300_.jpg,train,Mongoose,undefined
51hED15pAtL._SX300_.jpg,train,Dallas,Space Invaders Are Smoking Grass
51HEZBRX7KL._SX300_.jpg,train,Kabul,When She Smiles She Lights
51HFNQS5ZZL._SY300_.jpg,train,Wattle,Trance: the Ultimate Collection 2004 V.3
51HRCZRCSZL.jpg,train,Chenin,History of House
51HvgwxIDIL._SX300_.jpg,train,Firefly,History of Things to Come
51hvy7cq+vL._SX300_.jpg,train,Sirocco,undefined
51hzvLH0+NL._SY300_.jpg,train,Metallic Sunburst,undefined
51IcBdcPO6L._SY300_.jpg,train,Bleached Cedar,"Thunderdome, No. 15: The Howling Nightmare"
51j2sOFhBfL._SX300_.jpg,train,Pesto,undefined
51J53S7YD1L._SX300_.jpg,train,Starship,Best Of Hardcore 4
51J8DDOJFcL._SY300_.jpg,train,Di Serria,Last True Family Man
51jbyPdiWyL._SX300_.jpg,train,Voodoo,undefined
51JK8wKXWbL._SY300_.jpg,train,Jaffa,Dreams A Dream
51jKMxscomL._SY300_.jpg,train,Tobacco Brown,Bora Bora Ibiza
51jspIeCh2L._SX300_.jpg,train,Woody Brown,Krafty Kuts Presents Slam the Breaks on
51k9LNF1b8L._SX300_.jpg,train,Loblolly,undefined
51KrUOSlgxL._SX300_.jpg,train,Sandrift,undefined
51kYHXcG9hL._SX300_.jpg,train,Westar,Las Tardes En Ibiza 2005
51l4aUxReML._SY300_.jpg,train,Silver,undefined
51LEwdemdwL._SY300_.jpg,train,Cerulean,Make a Move on Me
51lgfqjCnZL._SY300_.jpg,train,Powder Ash,Global Grooves:One
51LItE7KwML._SY300_.jpg,train,Japonica,Real Sadness &amp; Gregorian Mysteries
51Ljr-ORxCL._SX300_.jpg,train,Tuna,sounds of a new generator
51loe08mFRL._SY300_.jpg,train,Loafer,undefined
51LoI-pCJtL._SX300_.jpg,train,Red Damask,Metamorphose
51Lqiu3ba9L._SX300_.jpg,train,Dallas,Mdz 04
51mehvD4IxL._SY300_.jpg,train,Ash,undefined
51MWO9hZqoL._SY300_.jpg,train,Lavender Gray,"10,000 Years Beneath the Street"
51mX4q-iitL._SY300_.jpg,train,Tundora,Love Or Lust
